Counc_Dist,Zip,LotNum,SumParcels,OwnerID,Abate_Date,Address,LAT,LNG
3,19104,3854,1,Private,10/22/2012,3854 FOLSOM ST,39.96704700012829,-75.19962737955001
3,19104,3854,1,Private,4/17/2013,3854 FOLSOM ST,39.96704700012829,-75.19962737955001
3,19104,3867,2,City,4/17/2013,3867 FOLSOM ST,39.96734037946425,-75.19997685019213
3,19104,3710,1,City,2/15/2013,3710 HAVERFORD AVE,39.9633445451926,-75.19639549910474
3,19104,3714,2,Private,2/15/2013,3714 HAVERFORD AVE,39.963302228858325,-75.1964684687188
3,19104,3907,2,Private,7/25/2012,3907 HAVERFORD AVE,39.963319258518936,-75.20007425171919
3,19104,4050-66,16,RDA,4/19/2013,4050 HAVERFORD AVE,39.96247528494387,-75.20436362720271
3,19104,607,1,PHA,8/4/2012,607 HUTTON ST,39.96380150706354,-75.20844143984621
3,19104,607,1,PHA,2/15/2013,607 HUTTON ST,39.96380150706354,-75.20844143984621
3,19104,609,1,Private,8/4/2012,609 HUTTON ST,39.96383866939864,-75.20844540299973
3,19104,609,1,Private,2/15/2013,609 HUTTON ST,39.96383866939864,-75.20844540299973
3,19104,613,1,Private,2/20/2013,613 HUTTON ST,39.96391444505468,-75.20845684400513
3,19104,615,1,Private,8/1/2012,615 HUTTON ST,39.96395301887935,-75.20846253885347
3,19104,615,1,Private,2/20/2013,615 HUTTON ST,39.96395301887935,-75.20846253885347
3,19104,617,1,Private,8/1/2012,617 HUTTON ST,39.96399155320789,-75.20846645069959
3,19104,617,1,Private,2/20/2013,617 HUTTON ST,39.96399155320789,-75.20846645069959
3,19104,619,1,Private,8/1/2012,619 HUTTON ST,39.96403008753626,-75.20847036255014
3,19104,619,1,Private,2/20/2013,619 HUTTON ST,39.96403008753626,-75.20847036255014
3,19104,621,1,Private,8/1/2012,621 HUTTON ST,39.96406728936584,-75.20847610874351
3,19104,621,1,Private,2/20/2013,621 HUTTON ST,39.96406728936584,-75.20847610874351
3,19104,625,1,Private,8/1/2012,625 HUTTON ST,39.96414580900699,-75.2084874471667
3,19104,632,1,Private,8/2/2012,632 HUTTON ST,39.96426204545411,-75.20877575555454
3,19104,632,1,Private,2/15/2013,632 HUTTON ST,39.96426204545411,-75.20877575555454
3,19104,634,1,Private,8/2/2012,634 HUTTON ST,39.96430061926262,-75.20878145061305
3,19104,634,1,Private,2/15/2013,634 HUTTON ST,39.96430061926262,-75.20878145061305
3,19104,636,1,Private,8/2/2012,636 HUTTON ST,39.964339153579964,-75.20878536266004
3,19104,636,1,Private,2/15/2013,636 HUTTON ST,39.964339153579964,-75.20878536266004
3,19104,638,1,Private,8/2/2012,638 HUTTON ST,39.96437768789709,-75.20878927471144
3,19104,638,1,Private,2/15/2013,638 HUTTON ST,39.96437768789709,-75.20878927471144
3,19104,640,1,Private,8/2/2012,640 HUTTON ST,39.964414889710376,-75.20879502110878
3,19104,640,1,Private,2/15/2013,640 HUTTON ST,39.964414889710376,-75.20879502110878
3,19104,642,1,Private,8/2/2012,642 HUTTON ST,39.96445483551223,-75.20880066486966
3,19104,642,1,Private,2/15/2013,642 HUTTON ST,39.96445483551223,-75.20880066486966
3,19104,644,1,PHA,8/2/2012,644 HUTTON ST,39.96449889729714,-75.20880615467328
3,19104,4249,2,Private,7/27/2012,4249 LANCASTER AVE,39.96765930293999,-75.20915370592522
3,19104,4124,2,City,10/19/2012,4124 LEIDY AVE,39.9741724520575,-75.20830325518912
3,19104,4140,2,City,10/19/2012,4140 LEIDY AVE,39.97427170285269,-75.20875465415128
3,19104,4152,2,Private,10/19/2012,4152 LEIDY AVE,39.97447509500315,-75.20913433793235
3,19104,4153,1,City,10/19/2012,4153 LEIDY AVE,39.97469830202179,-75.20842457484534
3,19104,4157,1,City,10/19/2012,4157 LEIDY AVE,39.974737676102016,-75.20852840290345
3,19104,4245,1,City,2/13/2013,4245 LEIDY AVE,39.975811418648924,-75.21144206416159
